source,target,synapse_count
10184,14091,1.0
10184,14387,1.0
10184,15414,2.0
10184,15665,7.0
10184,15733,1.0
10184,15792,2.0
10184,16931,2.0
10184,17144,63.0
10184,17284,1.0
10184,17616,1.0
10184,18133,21.0
10184,18705,1.0
10184,31440,12.0
10184,39064,1.0
10246,10001,114.0
10246,10010,129.0
10246,10052,1.0
10246,10078,3.0
10246,10106,52.0
10246,10117,88.0
10246,10128,24.0
10246,10146,15.0
10246,10257,15.0
10246,10277,30.0
10246,10283,2.0
10246,10297,1.0
10246,10580,16.0
10246,10584,27.0
10246,10728,2.0
10246,10923,119.0
10246,10925,13.0
10246,10957,12.0
10246,10992,4.0
10246,11133,8.0
10246,11391,63.0
10246,11397,18.0
10246,11572,86.0
10246,11782,2.0
10246,12053,5.0
10246,12129,23.0
10246,12184,114.0
10246,12215,53.0
10246,12614,50.0
10246,12857,1.0
10246,13114,6.0
10246,13578,2.0
10246,13600,19.0
10246,13825,58.0
10246,14091,1.0
10246,15261,5.0
10246,15323,1.0
10246,15331,3.0
10246,15336,10.0
10246,15414,1.0
10246,15665,4.0
10246,15959,1.0
10246,16445,4.0
10246,16482,5.0
10246,16644,8.0
10246,17527,5.0
10246,17584,1.0
10246,18111,2.0
10246,18716,2.0
10246,20338,16.0
10246,21128,4.0
10246,22309,4.0
10246,27620,4.0
10246,28620,14.0
10246,29523,22.0
10246,31784,36.0
10246,33474,1.0
10246,34869,7.0
10246,36717,28.0
10246,46221,16.0
10246,46376,1.0
10257,10001,19.0
10257,10010,3.0
10257,10128,1.0
10257,10146,2.0
10257,10173,1.0
10257,10277,5.0
10257,10283,14.0
10257,10584,10.0
10257,10728,24.0
10257,10992,3.0
10257,11272,3.0
10257,11361,4.0
10257,11572,1.0
10257,11832,2.0
10257,12215,1.0
10257,12628,2.0
10257,12857,2.0
10257,13600,1.0
10257,13995,1.0
10257,16482,2.0
10257,16855,12.0
10257,17144,3.0
10257,17584,1.0
10257,31440,2.0
10277,10001,1.0
10277,10010,28.0
10277,10117,1.0
10277,10146,41.0
10277,10257,14.0
10277,10297,1.0
10277,10728,3.0
10277,10923,2.0
10277,11361,6.0
10277,11391,1.0
10277,11397,4.0
10277,11826,1.0
10277,11832,1.0
10277,12129,1.0
10277,12184,1.0
10277,13794,1.0
10277,13825,1.0
10277,15665,1.0
10277,15733,2.0
10277,17284,1.0
10277,17616,1.0
10277,21151,1.0
10277,22309,1.0
10277,28620,1.0
10277,29523,2.0
10277,36717,1.0
10283,10001,143.0
10283,10010,12.0
10283,10091,51.0
10283,10106,3.0
10283,10117,3.0
10283,10146,39.0
10283,10173,6.0
10283,10184,101.0
10283,10257,4.0
10283,10277,40.0
10283,10297,13.0
10283,10315,2.0
10283,10580,6.0
10283,10584,64.0
10283,10588,1.0
10283,10671,2.0
10283,10728,8.0
10283,10923,40.0
10283,10925,3.0
10283,10937,1.0
10283,10957,1.0
10283,11101,1.0
10283,11133,16.0
10283,11205,1.0
10283,11257,1.0
10283,11272,3.0
10283,11334,7.0
10283,11353,4.0
10283,11361,8.0
10283,11397,1.0
10283,11431,1.0
10283,11462,1.0
10283,11507,1.0
10283,11572,1.0
10283,11826,1.0
10283,11832,10.0
10283,12041,13.0
10283,12053,4.0
10283,12129,1.0
10283,12184,7.0
10283,12215,15.0
10283,12275,2.0
10283,12405,2.0
10283,12419,3.0
10283,12628,53.0
10283,12857,1.0
10283,13114,1.0
10283,13122,1.0
10283,13256,2.0
10283,13263,1.0
10283,13794,1.0
10283,13815,3.0
10283,13825,1.0
10283,13919,4.0
10283,14017,1.0
10283,14091,1.0
10283,14899,74.0
10283,15323,1.0
10283,15414,5.0
10283,15665,5.0
10283,16445,6.0
10283,16855,1.0
10283,16931,1.0
10283,17144,5.0
10283,17284,1.0
10283,17616,7.0
10283,17757,139.0
10283,18133,2.0
10283,18940,150.0
10283,19668,1.0
10283,20338,6.0
10283,21548,2.0
10283,21641,1.0
10283,22309,2.0
10283,27620,7.0
10283,28620,1.0
10283,28663,96.0
10283,29523,2.0
10283,31334,32.0
10283,31362,16.0
10283,31440,3.0
10283,31784,1.0
10283,31964,1.0
10283,33474,4.0
10283,34869,1.0
10283,36717,2.0
10283,46221,1.0
10283,48633,55.0
10283,57245,2.0
10283,61011,28.0
10283,65465,10.0
10283,80419,1.0
10283,225466,3.0
10283,803126,1.0
10283,805849,1.0
10283,806128,1.0
10283,807678,1.0
10283,809034,2.0
10283,810029,2.0
10283,817729,1.0
10297,10001,161.0
10297,10106,19.0
10297,10117,32.0
10297,10146,73.0
10297,10173,2.0
10297,10277,79.0
10297,10283,329.0
10297,10580,4.0
10297,10584,449.0
10297,10588,4.0
10297,10728,1.0
10297,10841,7.0
10297,10923,305.0
10297,10925,50.0
10297,10957,84.0
10297,11101,1.0
10297,11133,25.0
10297,11334,6.0
10297,11353,1.0
10297,11397,1.0
10297,11431,1.0
10297,11507,1.0
10297,11687,3.0
10297,11761,1.0
10297,11826,63.0
10297,12041,9.0
10297,12129,1.0
10297,12184,14.0
10297,12215,5.0
10297,12275,2.0
10297,12419,2.0
10297,12628,32.0
10297,12857,1.0
10297,13114,1.0
10297,13794,1.0
10297,13825,3.0
10297,13919,13.0
10297,14017,11.0
10297,15414,1.0
10297,16445,2.0
10297,16459,1.0
10297,16628,5.0
10297,16855,13.0
10297,17527,1.0
10297,17616,2.0
10297,18133,6.0
10297,18705,6.0
10297,18716,1.0
10297,19634,1.0
10297,20269,2.0
10297,20338,4.0
10297,20535,1.0
10297,21151,3.0
10297,21251,5.0
10297,21336,3.0
10297,21548,1.0
10297,21804,2.0
10297,22034,2.0
10297,23590,3.0
10297,27620,8.0
10297,29523,12.0
10297,31440,1.0
10297,31964,3.0
10297,34869,4.0
10297,46221,5.0
10315,10001,159.0
10315,10010,165.0
10315,10052,1.0
10315,10091,19.0
10315,10106,3.0
10315,10117,10.0
10315,10146,1.0
10315,10277,1.0
10315,10283,14.0
10315,10580,33.0
10315,10584,14.0
10315,10588,1.0
10315,10923,145.0
10315,10992,10.0
10315,11133,35.0
10315,11205,4.0
10315,11257,1.0
10315,11272,1.0
10315,11334,10.0
10315,11361,3.0
10315,12041,13.0
10315,12184,8.0
10315,12215,1.0
10315,12275,2.0
10315,12628,29.0
10315,13825,2.0
10315,14017,2.0
10315,14091,1.0
10315,14277,1.0
10315,14899,1.0
10315,16482,4.0
10315,16931,14.0
10315,21641,6.0
10315,27620,11.0
10315,29523,3.0
10315,34869,5.0
10402,10283,2.0
10402,10297,121.0
10402,10841,6.0
10402,11397,94.0
10402,12419,1.0
10402,15331,7.0
10402,17416,1.0
10402,18957,4.0
10402,18959,1.0
10434,10010,1.0
10434,10091,1.0
10434,10184,2.0
10434,10283,1.0
10434,10649,8.0
10434,10937,2.0
10434,11832,2.0
10434,12405,48.0
10434,12771,1.0
10434,13317,4.0
10434,14113,1.0
10434,17322,1.0
10434,30465,1.0
10440,10151,1.0
10440,10180,3.0
10440,10588,2.0
10440,10671,3.0
10440,10923,1.0
10440,14899,1.0
10440,16542,2.0
10440,17322,14.0
10440,18455,23.0
10440,21128,1.0
10443,10078,1.0
10443,10451,8.0
10443,12211,6.0
10443,12517,10.0
10443,12737,11.0
10443,14539,1.0
10443,17015,41.0
10443,32740,13.0
10443,35852,15.0
10443,40996,9.0
10443,59297,1.0
10443,128570,1.0
10443,515278,10.0
10443,521632,1.0
10443,525221,5.0
10451,10443,7.0
10451,12211,6.0
10451,12517,8.0
10451,12737,9.0
10451,14539,3.0
10451,15514,1.0
10451,17015,12.0
10451,32740,25.0
10451,35852,36.0
10451,38640,1.0
10451,40996,26.0
10451,45196,2.0
10451,140043,1.0
10451,515278,13.0
10451,521632,2.0
10451,525221,8.0
10451,535597,1.0
10451,535628,1.0
10570,10010,113.0
10570,10117,1.0
10570,10128,3.0
10570,10246,1.0
10570,10257,2.0
10570,11272,10.0
10570,11391,3.0
10570,11397,1.0
10570,11572,3.0
10570,12614,1.0
10570,14277,1.0
10570,15261,1.0
10570,16482,1.0
10570,17527,1.0
10570,27620,1.0
10570,31784,1.0
10570,46376,1.0
10576,10001,4.0
10576,10010,11.0
10576,10128,1.0
10576,10246,5.0
10576,10570,43.0
10576,10689,1.0
10576,10728,4.0
10576,11391,1.0
10576,11462,2.0
10576,12129,2.0
10576,14502,1.0
10576,14600,50.0
10576,15336,9.0
10576,16644,23.0
10576,17253,1.0
10576,21251,11.0
10576,31362,1.0
10576,46376,3.0
10576,47608,9.0
10576,801577,2.0
10576,801943,2.0
10576,801984,1.0
10576,802425,12.0
10576,804185,17.0
10576,806001,7.0
10576,806187,1.0
10576,806465,1.0
10576,807314,5.0
10576,810081,1.0
10576,812267,1.0
10576,911199,15.0
10580,10001,60.0
10580,10010,739.0
10580,10091,45.0
10580,10180,1.0
10580,10184,22.0
10580,10257,54.0
10580,10277,1.0
10580,10283,7.0
10580,10297,1.0
10580,10315,4.0
10580,10588,1.0
10580,10728,9.0
10580,10923,29.0
10580,10992,105.0
10580,11101,2.0
10580,11133,17.0
10580,11205,13.0
10580,11272,6.0
10580,11361,8.0
10580,11572,1.0
10580,11826,1.0
10580,11832,9.0
10580,12041,4.0
10580,12184,3.0
10580,12215,5.0
10580,12419,1.0
10580,12614,1.0
10580,12628,22.0
10580,13256,1.0
10580,13995,3.0
10580,14899,9.0
10580,15414,1.0
10580,15733,1.0
10580,16445,5.0
10580,16459,1.0
10580,16482,19.0
10580,16931,1.0
10580,17144,5.0
10580,17584,2.0
10580,17616,4.0
10580,17757,16.0
10580,18090,2.0
10580,18940,25.0
10580,28663,3.0
10580,31334,12.0
10580,31440,1.0
10580,39064,1.0
10580,48633,28.0
10580,57245,16.0
10580,61011,2.0
10580,805966,1.0
10580,807245,1.0
10580,817729,1.0
10584,10001,1.0
10584,10091,2.0
10584,10106,1.0
10584,10117,4.0
10584,10146,1.0
10584,10173,1.0
10584,10180,1.0
10584,10246,5.0
10584,10283,4.0
10584,10297,4.0
10584,10315,34.0
10584,10923,120.0
10584,10925,1.0
10584,10957,6.0
10584,11133,2.0
10584,11205,3.0
10584,11257,3.0
10584,11353,1.0
10584,11361,12.0
10584,11826,1.0
10584,11832,2.0
10584,12275,2.0
10584,12419,1.0
10584,12614,2.0
10584,13919,2.0
10584,14017,1.0
10584,14899,57.0
10584,16931,25.0
10584,17284,1.0
10584,17616,1.0
10584,17757,160.0
10584,18455,1.0
10584,18940,32.0
10584,21813,1.0
10584,28663,29.0
10584,31334,3.0
10584,31362,7.0
10584,34869,1.0
10584,48633,33.0
10584,57245,7.0
10584,61011,21.0
10584,65465,17.0
10584,82900,1.0
10584,810029,8.0
10584,815910,2.0
10584,817729,3.0
10588,10001,24.0
10588,10091,30.0
10588,10151,4.0
10588,10180,1.0
10588,10283,16.0
10588,10315,1.0
10588,10440,49.0
10588,10580,14.0
10588,10671,1.0
10588,10923,9.0
10588,10957,1.0
10588,11065,1.0
10588,11133,77.0
10588,11257,76.0
10588,11334,2.0
10588,11353,3.0
10588,12041,13.0
10588,12215,1.0
10588,12628,127.0
10588,13317,1.0
10588,14113,6.0
10588,14863,40.0
10588,15323,11.0
10588,16542,11.0
10588,16931,7.0
10588,17616,2.0
10588,30465,3.0
10649,10143,1.0
10649,10180,117.0
10649,10184,3.0
10649,10315,1.0
10649,10671,74.0
10649,11361,2.0
10649,11832,3.0
10649,13263,1.0
10649,14277,3.0
10649,14387,1.0
10649,14899,33.0
10649,16931,1.0
10649,17584,1.0
10649,18940,8.0
10649,31334,2.0
10649,806128,10.0
10649,806187,9.0
10649,810081,24.0
10649,813858,5.0
10654,10180,1.0
10654,10283,1.0
10654,10924,21.0
10654,11397,10.0
10654,13122,15.0
10654,13995,6.0
10654,33474,6.0
10654,48633,1.0
10654,800190,4.0
10671,10010,14.0
10671,10078,1.0
10671,10091,42.0
10671,10106,4.0
10671,10151,40.0
10671,10180,23.0
10671,10184,6.0
10671,10283,1.0
10671,10440,242.0
10671,10580,59.0
10671,10588,1.0
10671,10689,7.0
10671,10992,8.0
10671,11011,2.0
10671,11133,22.0
10671,11257,1.0
10671,11272,8.0
10671,11334,91.0
10671,11397,2.0
10671,11431,1.0
10671,12041,8.0
10671,12184,14.0
10671,12215,6.0
10671,12419,1.0
10671,12628,50.0
10671,12771,2.0
10671,13578,7.0
10671,13815,3.0
10671,14063,2.0
10671,14113,1.0
10671,14899,1.0
10671,15792,1.0
10671,16445,2.0
10671,16482,1.0
10671,16983,3.0
10671,17253,3.0
10671,17284,24.0
10671,17584,5.0
10671,17616,3.0
10671,17757,2.0
10671,18940,2.0
10671,31334,12.0
10671,36102,2.0
10671,74105,2.0
10671,80419,1.0
10671,80724,15.0
10671,82900,2.0
10671,800014,1.0
10671,801143,6.0
10671,803126,5.0
10671,803420,3.0
10671,804185,2.0
10671,804631,4.0
10671,805849,21.0
10671,805963,9.0
10671,805966,29.0
10671,806187,1.0
10671,807245,3.0
10671,807581,1.0
10671,807678,5.0
10671,810029,1.0
10671,817729,4.0
10671,909325,5.0
10671,911199,4.0
10689,10001,156.0
10689,10010,97.0
10689,10052,24.0
10689,10078,1.0
10689,10106,17.0
10689,10117,76.0
10689,10146,22.0
10689,10257,39.0
10689,10277,21.0
10689,10570,37.0
10689,10576,59.0
10689,10728,7.0
10689,11687,5.0
10689,11782,26.0
10689,12053,25.0
10689,12129,20.0
10689,12184,1.0
10689,13114,7.0
10689,13122,2.0
10689,13263,1.0
10689,13600,65.0
10689,13794,2.0
10689,14063,1.0
10689,14793,4.0
10689,14899,15.0
10689,15261,12.0
10689,15323,15.0
10689,15336,5.0
10689,15665,6.0
10689,15959,1.0
10689,16445,1.0
10689,16644,4.0
10689,17253,1.0
10689,17284,1.0
10689,17527,11.0
10689,17584,8.0
10689,17757,3.0
10689,18090,10.0
10689,21548,1.0
10689,22309,24.0
10689,27620,1.0
10689,28620,6.0
10689,28663,4.0
10689,29523,4.0
10689,31362,25.0
10689,33474,2.0
10689,34869,1.0
10689,46376,1.0
10689,74105,1.0
10689,801143,1.0
10689,802425,2.0
10689,803564,1.0
10689,803702,8.0
10689,804185,5.0
10689,804978,16.0
10689,805849,1.0
10689,806001,28.0
10689,806187,6.0
10689,806465,11.0
10689,809034,1.0
10689,809037,2.0
10689,809503,2.0
10689,810081,4.0
10689,812693,2.0
10689,909325,13.0
10689,909760,1.0
10689,911199,25.0
10728,10001,97.0
10728,10010,22.0
10728,10091,2.0
10728,10106,1.0
10728,10128,3.0
10728,10146,5.0
10728,10184,3.0
10728,10257,22.0
10728,10277,4.0
10728,10283,48.0
10728,10315,1.0
10728,10580,2.0
10728,10584,27.0
10728,10923,2.0
10728,10925,1.0
10728,10957,1.0
10728,10992,6.0
10728,11101,1.0
10728,11133,2.0
10728,11205,3.0
10728,11272,1.0
10728,11334,4.0
10728,11361,18.0
