id,neuron_type,neurotransmitter,role,region,x,y,z
99179,Dm9,GLUT,inter,brain,562704.0,282208.0,174064.0
99504,R1-R6,HIST,sensory,brain,24448.0,218992.0,236592.0
101155,L3,ACH,inter,brain,40032.0,202784.0,243056.0
101506,Dm8a,GLUT,inter,brain,169760.0,222192.0,162816.0
101999,Mi9,GLUT,inter,brain,625008.0,110936.0,219664.0
102509,Dm9,GLUT,inter,brain,637152.0,102640.0,248832.0
103634,L3,ACH,inter,brain,32848.0,208272.0,253568.0
103744,Tm37,GLUT,inter,brain,586256.0,289024.0,166944.0
103848,Tm5b,ACH,inter,brain,172024.0,249672.0,175984.0
104892,L3,ACH,inter,brain,730032.0,168672.0,253072.0
105674,L3,ACH,inter,brain,36736.0,212048.0,229296.0
106275,Dm-DRA2,GLUT,inter,brain,602168.0,108184.0,271032.0
106548,R1-R6,HIST,sensory,brain,76880.0,206256.0,178224.0
106761,Mi4,GABA,inter,brain,658784.0,115360.0,230592.0
109407,Lai,GLUT,inter,brain,678176.0,121536.0,242960.0
109875,R1-R6,HIST,sensory,brain,683904.0,165440.0,180896.0
111450,Dm8b,GLUT,inter,brain,159976.0,190560.0,176176.0
111999,TmY18,ACH,inter,brain,643664.0,116864.0,233504.0
112083,Mi9,GLUT,inter,brain,620768.0,105104.0,232160.0
112650,Mi15,ACH,inter,brain,599024.0,280000.0,169312.0
114108,Tm37,GLUT,inter,brain,613992.0,97352.0,228744.0
115321,Dm-DRA2,GLUT,inter,brain,658792.0,107440.0,255976.0
116102,Mi9,GLUT,inter,brain,625376.0,105344.0,239496.0
117954,T1,HIST,inter,brain,612440.0,111944.0,270760.0
119038,Tm6,ACH,inter,brain,637472.0,109920.0,237728.0
122842,Mi9,GLUT,inter,brain,645216.0,100608.0,237248.0
123218,Mi15,ACH,inter,brain,630464.0,99136.0,237696.0
123360,C2,GABA,inter,brain,612776.0,142736.0,307096.0
123609,C2,GABA,inter,brain,608960.0,128560.0,297264.0
126208,Mi9,GLUT,inter,brain,596160.0,99632.0,220224.0
128211,Tm3,ACH,inter,brain,673296.0,125504.0,283728.0
128570,Mi9,GLUT,inter,brain,647792.0,108576.0,227104.0
131194,Tm29,GLUT,inter,brain,166656.0,243920.0,174888.0
132084,Mi15,ACH,inter,brain,616160.0,104960.0,228224.0
132949,C2,GABA,inter,brain,637936.0,150424.0,311408.0
133947,Tm20,ACH,inter,brain,659856.0,115344.0,278608.0
134259,Dm9,GLUT,inter,brain,630240.0,101904.0,245600.0
