source,target,synapse_count
4721538,10018260,8.0
4721538,12138418,3.0
4721538,16444544,3.0
4721538,16445073,3.0
4780707,2439134,1.0
4780707,4391317,1.0
4780707,4422289,8.0
4780707,4636432,2.0
4780707,5874480,1.0
4780707,5938794,1.0
4780707,7582412,1.0
4780707,7952981,1.0
4780707,9078240,1.0
4780707,9445876,1.0
4780707,10958210,3.0
4780707,11144258,1.0
4780707,12299621,5.0
4780707,12840470,2.0
4780707,14461238,4.0
4780707,15343835,1.0
4780707,15766806,2.0
4780707,16089743,1.0
4780707,16098538,5.0
4780707,16442113,1.0
4780707,17244655,2.0
4926999,2439134,6.0
4926999,4391317,3.0
4926999,4422289,1.0
4926999,4635057,4.0
4926999,4637677,3.0
4926999,5118060,1.0
4926999,8262372,3.0
4926999,9445876,1.0
4926999,9747418,2.0
4926999,10958210,4.0
4926999,11193510,3.0
4926999,12138418,1.0
4926999,12948470,1.0
4926999,16089743,4.0
4926999,16442113,2.0
5118060,2204467,1.0
5118060,2439134,1.0
5118060,3538129,1.0
5118060,4279887,1.0
5118060,4391317,1.0
5118060,4780707,1.0
5118060,6143930,3.0
5118060,7582489,1.0
5118060,8700125,2.0
5118060,9078240,4.0
5118060,9747418,1.0
5118060,10955244,2.0
5118060,11004239,1.0
5118060,11123016,2.0
5118060,12745771,2.0
5118060,12948470,1.0
5118060,16045758,2.0
5118060,16848475,3.0
5118060,17013073,1.0
5118060,17244655,1.0
5118060,18566501,2.0
5261424,2379529,1.0
5261424,2439134,2.0
5261424,3928574,4.0
5261424,3928652,2.0
5261424,4279887,1.0
5261424,4391317,1.0
5261424,4637677,2.0
5261424,4780707,6.0
5261424,5874480,1.0
5261424,6494274,2.0
5261424,8347613,1.0
5261424,9445876,1.0
5261424,10955244,1.0
5261424,10958210,1.0
5261424,11703922,1.0
5261424,12299621,7.0
5261424,12840470,2.0
5261424,14461238,1.0
5261424,14818307,2.0
5261424,16442113,1.0
5261424,16848475,2.0
5261424,17420035,1.0
5261424,17962513,1.0
5289042,2379529,1.0
5289042,2439134,13.0
5289042,4279887,1.0
5289042,4391317,2.0
5289042,4422289,2.0
5289042,4635057,3.0
5289042,4637677,1.0
5289042,4926999,3.0
5289042,5118060,2.0
5289042,8262372,4.0
5289042,8293958,4.0
5289042,9747418,2.0
5289042,10540188,4.0
5289042,10958210,3.0
5289042,11193510,11.0
5289042,12138418,1.0
5289042,12476851,1.0
5289042,12745771,2.0
5289042,14461238,1.0
5289042,16089743,9.0
5289042,19611917,1.0
5321459,4433960,1.0
5321459,5874480,1.0
5321459,5938794,1.0
5321459,7026287,2.0
5321459,8542422,2.0
5321459,9015745,1.0
5321459,9141404,4.0
5321459,10018260,2.0
5321459,10702736,2.0
5321459,11013351,1.0
5321459,11018254,1.0
5321459,11409587,1.0
5321459,11600886,3.0
5321459,11703922,1.0
5321459,12475432,2.0
5321459,13197236,3.0
5321459,14082322,19.0
5321459,14333495,1.0
5321459,15343835,18.0
5321459,15568333,2.0
5321459,15741865,7.0
5321459,15766806,2.0
5321459,15825861,3.0
5321459,16386470,2.0
5321459,16475849,14.0
5321459,17047087,1.0
5678582,2797480,1.0
5678582,6494382,4.0
5678582,8069478,4.0
5678582,9409359,3.0
5678582,9447255,1.0
5678582,10018260,1.0
5678582,11257084,1.0
5678582,12839441,1.0
5678582,14319185,1.0
5678582,14333371,2.0
5678582,14333495,6.0
5678582,15343835,11.0
5689639,2797480,1.0
5689639,11011058,1.0
5746180,5689639,2.0
5746180,8203947,5.0
5746180,10875625,2.0
5874480,2439134,3.0
5874480,5321459,1.0
5874480,5938794,1.0
5874480,7026287,1.0
5874480,8034919,2.0
5874480,9078240,4.0
5874480,9083312,3.0
5874480,9527522,3.0
5874480,11013351,6.0
5874480,11018254,12.0
5874480,11600886,2.0
5874480,11703922,4.0
5874480,12299621,2.0
5874480,13197236,4.0
5874480,14000746,3.0
5874480,14313750,7.0
5874480,14540633,6.0
5874480,15741865,1.0
5874480,16089743,2.0
5874480,16386470,1.0
5874480,16442113,1.0
5874480,16444552,5.0
5874480,16475849,4.0
5874480,16823703,3.0
5874480,16868923,2.0
5874480,17013073,1.0
5874480,17016974,3.0
5874480,18062678,13.0
5936935,9083312,2.0
5936935,9409359,1.0
5936935,10596949,2.0
5936935,11017761,2.0
5936935,11871574,9.0
5936935,14651659,1.0
5938794,2439134,4.0
5938794,4391317,4.0
5938794,4473922,1.0
5938794,8034919,2.0
5938794,9078240,2.0
5938794,9141404,6.0
5938794,11013351,1.0
5938794,11017761,6.0
5938794,11018254,19.0
5938794,11600886,20.0
5938794,11703922,2.0
5938794,12138418,4.0
5938794,12299621,1.0
5938794,12475432,2.0
5938794,13197236,3.0
5938794,14000746,3.0
5938794,14082322,2.0
5938794,14313750,25.0
5938794,14540633,2.0
5938794,15343835,1.0
5938794,15741865,1.0
5938794,15766806,3.0
5938794,15825861,1.0
5938794,16089743,2.0
5938794,16386470,1.0
5938794,16442113,1.0
5938794,16444552,1.0
5938794,16475849,4.0
5938794,16823703,1.0
5938794,16868923,11.0
5938794,17016974,21.0
5938794,18062678,7.0
5963873,5321459,2.0
5963873,5874480,5.0
5963873,8034919,1.0
5963873,8118947,1.0
5963873,9083312,2.0
5963873,9141404,2.0
5963873,9409359,2.0
5963873,9527522,5.0
5963873,10543751,2.0
5963873,11013351,3.0
5963873,11017761,1.0
5963873,11018254,14.0
5963873,11257084,1.0
5963873,11600886,7.0
5963873,11703922,1.0
5963873,12138418,1.0
5963873,13197236,20.0
5963873,14000746,24.0
5963873,14082322,2.0
5963873,14313750,3.0
5963873,14540633,2.0
5963873,15343835,4.0
5963873,15741865,22.0
5963873,16386470,8.0
5963873,16442113,2.0
5963873,16475849,1.0
5963873,16823703,1.0
5963873,17016974,8.0
5963873,17047087,2.0
5963873,18062678,6.0
6143930,2379529,1.0
6143930,2568465,11.0
6143930,2797480,3.0
6143930,3450751,4.0
6143930,3486381,1.0
6143930,4134539,6.0
6143930,6451332,1.0
6143930,7582489,1.0
6143930,8276782,5.0
6143930,8542422,3.0
6143930,8704079,2.0
6143930,9589146,3.0
6143930,10702736,1.0
6143930,11018254,1.0
6143930,11123016,1.0
6143930,11178891,1.0
6143930,12336493,1.0
6143930,14756000,1.0
6143930,18644088,1.0
6451332,2439134,2.0
6451332,3538129,3.0
6451332,4422289,2.0
6451332,4607160,2.0
6451332,4636432,2.0
6451332,4780707,4.0
6451332,5118060,8.0
6451332,5874480,1.0
6451332,5963873,5.0
6451332,8111135,3.0
6451332,8542422,2.0
6451332,8704079,2.0
6451332,9447255,1.0
6451332,10543751,3.0
