id,neuron_type,neurotransmitter,role,region,x,y,z
720575940629390123,unknown,ACH,motor-related,IPS,461664.0,182528.0,199040.0
720575940629428215,unknown,ACH,motor-related,VES.GNG,469640.0,187728.0,208240.0
720575940629584887,unknown,GABA,inter,SAD,390636.0,301752.0,137480.0
720575940629701737,unknown,GABA,inter,GNG,444808.0,349916.0,125000.0
720575940629837563,unknown,ACH,inter,GNG.SLP,644916.0,269564.0,35600.0
720575940629861163,unknown,GABA,inter,GNG.SLP,383928.0,168648.0,147320.0
720575940630037036,unknown,ACH,inter,LH.SMP,712704.0,139136.0,111600.0
720575940630064195,unknown,ACH,inter,GNG.SPS,625664.0,336704.0,115600.0
720575940630084352,unknown,ACH,inter,SLP.SMP,593252.0,89216.0,123200.0
720575940630086698,unknown,ACH,inter,AVLP,690428.0,231880.0,85480.0
720575940630095045,unknown,ACH,inter,AVLP,694820.0,286644.0,58200.0
720575940630160384,AN,ACH,sensory,SAD.VES,518348.0,350020.0,192560.0
720575940630162938,visual,ACH,sensory,LA,830748.0,247408.0,94400.0
720575940630164992,unknown,GABA,inter,GNG,577816.0,357488.0,73760.0
720575940630246364,unknown,GABA,inter,SAD.PVLP,633552.0,219924.0,45200.0
720575940630255813,unknown,ACH,inter,LH.SLP,726848.0,214208.0,93440.0
720575940630258003,unknown,GABA,inter,AVLP,405188.0,280340.0,117840.0
720575940630291767,unknown,GABA,motor-related,GNG,446336.0,341024.0,183480.0
720575940630311383,unknown,ACH,inter,AVLP.LO,722808.0,244116.0,65200.0
720575940630334658,unknown,unknown,motor-related,VES,433596.0,241696.0,85120.0
720575940630452388,Kenyon_Cell,ACH,inter,MB_CA.MB_VL,622768.0,172232.0,143760.0
720575940630580854,brain_motor_neuron,unknown,motor-related,GNG,462528.0,307392.0,56760.0
720575940630610554,optic_lobe_intrinsic,GLUT,inter,LA.ME,129076.0,305164.0,180720.0
720575940630712493,unknown,unknown,motor-related,GNG,447500.0,333540.0,187440.0
720575940630749523,unknown,GABA,inter,WED,398008.0,302484.0,132000.0
720575940630859791,unknown,ACH,inter,LH.SMP,701840.0,154928.0,110960.0
720575940630907434,unknown,ACH,inter,SAD,458128.0,171644.0,197160.0
720575940630909970,unknown,ACH,inter,LH.SLP,725056.0,204800.0,105120.0
720575940630934595,unknown,ACH,inter,AVLP,332488.0,267528.0,112880.0
720575940630937660,unknown,ACH,inter,IPS,527980.0,363864.0,202080.0
720575940631168057,unknown,GABA,motor-related,GNG,415192.0,315364.0,101400.0
720575940631254611,mechanosensory,unknown,sensory,NO_CONS,456308.0,373044.0,128400.0
720575940631328738,unknown,GABA,inter,WED.SAD,656488.0,317936.0,107320.0
720575940631447879,AN,ACH,sensory,GNG.VES,514936.0,349056.0,169640.0
720575940631469610,unknown,GABA,inter,SAD.AMMC,641764.0,318636.0,102680.0
720575940631705130,unknown,GLUT,motor-related,VES.GNG,514796.0,357720.0,167960.0
720575940631710604,unknown,GABA,inter,AVLP,720160.0,188652.0,105520.0
720575940631842360,unknown,GABA,inter,AVLP,727056.0,154288.0,111120.0
720575940631959097,unknown,ACH,motor-related,GNG,390092.0,307072.0,144400.0
720575940632043320,unknown,ACH,motor-related,AMMC.SAD,562968.0,342072.0,204000.0
720575940632043576,unknown,GABA,motor-related,GNG,532268.0,356308.0,171520.0
720575940632183121,LHLN,GABA,inter,LH,712860.0,187680.0,110680.0
720575940632295751,unknown,unknown,inter,GNG.FLA,511744.0,367584.0,186080.0
720575940632317997,unknown,GLUT,inter,IPS,599040.0,206560.0,217360.0
720575940632381536,unknown,GABA,inter,PVLP,609992.0,232680.0,136520.0
720575940632472850,unknown,ACH,motor-related,AVLP.GNG,612016.0,185316.0,200880.0
720575940632509711,unknown,GABA,inter,SAD.AMMC,668412.0,323904.0,107680.0
720575940632580503,unknown,ACH,inter,AVLP,333064.0,229896.0,106960.0
720575940632607935,AN,unknown,sensory,GNG,546748.0,314596.0,231920.0
720575940632648868,AN,ACH,sensory,GNG,545704.0,339692.0,232280.0
720575940632678099,AN,ACH,sensory,AVLP,499424.0,347340.0,251360.0
720575940632692051,LHLN,GABA,inter,LH,670556.0,211292.0,179320.0
720575940632722771,unknown,GABA,motor-related,GNG,440188.0,339380.0,97560.0
720575940632936332,unknown,unknown,inter,GNG,430912.0,334720.0,98280.0
720575940632985261,unknown,GABA,inter,SAD,655196.0,313048.0,112760.0
720575940632998136,unknown,GABA,inter,WED,396972.0,300196.0,125080.0
720575940632998591,LHLN,GABA,inter,LH,711888.0,189308.0,112160.0
720575940633165452,unknown,unknown,motor-related,SAD,599140.0,185764.0,183920.0
720575940633228172,unknown,ACH,motor-related,GNG,455492.0,353540.0,108600.0
720575940633293025,unknown,GABA,motor-related,GNG,410528.0,319032.0,138080.0
720575940633294796,ALLN,unknown,inter,AL,633696.0,242592.0,26720.0
720575940633316307,unknown,ACH,inter,GNG,578688.0,321216.0,43000.0
720575940633316563,unknown,ACH,inter,GNG.VES,424544.0,318496.0,126120.0
720575940633350812,unknown,GABA,inter,AVLP,664644.0,213280.0,197600.0
720575940633401199,unknown,GABA,inter,AMMC,371612.0,301352.0,134600.0
720575940633483444,unknown,GABA,inter,SAD.AMMC,666312.0,319156.0,103000.0
720575940633560545,Kenyon_Cell,ACH,inter,MB_CA.MB_PED,637804.0,167952.0,143760.0
720575940633714402,unknown,unknown,inter,SAD.AMMC,603968.0,342848.0,82400.0
720575940633936941,unknown,ACH,inter,LH.SLP,724160.0,216064.0,105520.0
720575940634023961,gustatory,unknown,sensory,GNG,552212.0,337388.0,112160.0
720575940634453093,unknown,ACH,inter,AMMC.AVLP,343972.0,252088.0,114440.0
720575940634464869,Kenyon_Cell,ACH,inter,MB_CA.MB_VL,630992.0,175596.0,143760.0
720575940634545890,ALLN,GABA,inter,AL,629796.0,248240.0,25400.0
720575940634704491,unknown,ACH,inter,AVLP,702440.0,283360.0,79160.0
720575940634710629,ALPN,ACH,inter,AL.LH,639868.0,230288.0,21720.0
720575940634751918,unknown,ACH,inter,AVLP,694060.0,290036.0,68560.0
720575940635059551,unknown,ACH,inter,LH.SIP,698416.0,156788.0,110400.0
720575940635330204,unknown,GABA,inter,AVLP,528764.0,349844.0,196600.0
720575940635468991,unknown,GABA,inter,LH,500892.0,164004.0,177920.0
720575940635604581,ALPN,ACH,inter,AL.LH,640761.0,233328.0,28040.0
720575940635749751,unknown,GABA,inter,WED.SAD,661160.0,314932.0,110360.0
720575940635831438,unknown,ACH,inter,WED,383432.0,156180.0,211360.0
720575940635863214,unknown,ACH,inter,AVLP,354680.0,150368.0,204080.0
720575940635898266,optic_lobe_intrinsic,ACH,inter,LA,223604.0,193056.0,169920.0
720575940635926335,unknown,ACH,inter,AVLP,326664.0,196844.0,121080.0
720575940635967886,unknown,ACH,inter,AVLP,646096.0,258120.0,95080.0
720575940636030185,unknown,GABA,inter,SAD.AMMC,664888.0,316376.0,104320.0
720575940636364133,Kenyon_Cell,ACH,inter,MB_CA.MB_ML,622508.0,178368.0,143760.0
720575940636475511,mechanosensory,unknown,sensory,NO_CONS,596296.0,303808.0,86400.0
720575940636552805,unknown,ACH,inter,GNG,488300.0,349740.0,90040.0
720575940636593550,unknown,GABA,inter,AVLP,726816.0,176192.0,110920.0
720575940636605530,Kenyon_Cell,ACH,inter,MB_CA.MB_ML,636512.0,172544.0,143760.0
720575940636871246,unknown,ACH,inter,AVLP,706956.0,291820.0,65400.0
720575940636879215,optic_lobe_intrinsic,GABA,inter,ME,235912.0,195768.0,202880.0
720575940637067888,unknown,GLUT,inter,LH,705540.0,171160.0,117640.0
720575940637218672,AN,unknown,sensory,GNG,537520.0,343020.0,190800.0
720575940637299172,unknown,ACH,inter,WED.AVLP,332340.0,219052.0,109960.0
720575940637300708,unknown,ACH,inter,LH.SIP,719416.0,138024.0,111760.0
720575940637308605,unknown,ACH,motor-related,IPS.GNG,507804.0,272492.0,51640.0
720575940637326967,unknown,ACH,inter,LH.SMP,716192.0,138464.0,112280.0
720575940637471039,unknown,GABA,inter,SAD.AMMC,420640.0,218196.0,79640.0
720575940637569870,unknown,ACH,inter,AVLP,685856.0,241152.0,42640.0
720575940637612974,unknown,ACH,motor-related,GNG,459368.0,360156.0,123400.0
720575940637755507,unknown,ACH,inter,AVLP,665128.0,225964.0,33480.0
720575940637949161,Kenyon_Cell,ACH,inter,MB_CA.MB_ML,619952.0,172180.0,143760.0
720575940637966682,unknown,ACH,inter,LH.SLP,709376.0,196512.0,109960.0
720575940638673478,unknown,GLUT,inter,LH,735040.0,156256.0,109080.0
720575940638803790,unknown,ACH,inter,GNG,639088.0,326120.0,168440.0
